dmr_make,dmr_model,dk_vehicle_count,proposed_no_make,proposed_no_model_token,no_inspection_count,confidence,rule_fired,match_score,decision,decision_basis
BMW,1-Serie,4105,BMW,1400,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,1-Serie,4105,BMW,1995,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
PEUGEOT,5008,4075,PEUGEOT,5008,10054,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 10,054 Norwegian inspections"
BMW,5-Serie,4027,BMW,520,19420,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 19,420 Norwegian inspections"
BMW,5-Serie,4027,BMW,525,7870,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 7,870 Norwegian inspections"
BMW,5-Serie,4027,BMW,530,7625,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 7,625 Norwegian inspections"
BMW,5-Serie,4027,BMW,523,845,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 845 Norwegian inspections"
BMW,5-Serie,4027,BMW,535,432,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 432 Norwegian inspections"
BMW,5-Serie,4027,BMW,540,242,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 242 Norwegian inspections"
BMW,5-Serie,4027,BMW,528,226,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 226 Norwegian inspections"
BMW,5-Serie,4027,BMW,518,214,high,family_series_sibling,1.0,y,"structural family membership (family_series_sibling), 214 Norwegian inspections"
BMW,5-Serie,4027,BMW,545,55,high,family_series_sibling,1.0,n,"exact/structural match but only 55 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,5-Serie,4027,BMW,550,29,high,family_series_sibling,1.0,n,"exact/structural match but only 29 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,5-Serie,4027,BMW,524,6,high,family_series_sibling,1.0,n,"exact/structural match but only 6 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,5-Serie,4027,BMW,5201,4,high,family_series_sibling,1.0,n,"exact/structural match but only 4 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,5-Serie,4027,BMW,5301,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,5-Serie,4027,BMW,5281,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,5-Serie,4027,BMW,560,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
BMW,5-Serie,4027,BMW,529,1,high,family_series_sibling,1.0,n,"exact/structural match but only 1 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
HYUNDAI,KONA,3897,HYUNDAI,KONA,276,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 276 Norwegian inspections"
AUDI,Q3,3809,AUDI,Q3,5398,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 5,398 Norwegian inspections"
SKODA,SUPERB,3724,SKODA,SUPERB,22645,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 22,645 Norwegian inspections"
VOLVO,XC40,3659,VOLVO,XC40,6577,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 6,577 Norwegian inspections"
SKODA,KAMIQ,3615,SKODA,KAMIQ,347,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 347 Norwegian inspections"
HYUNDAI,Tucson,3585,HYUNDAI,TUCSON,8355,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 8,355 Norwegian inspections"
HONDA,CIVIC,3578,HONDA,CIVIC,9680,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 9,680 Norwegian inspections"
MAZDA,CX-3,3555,MAZDA,CX 3,8841,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 8,841 Norwegian inspections"
MERCEDES-BENZ,B-Klasse,3537,MERCEDES-BENZ,B,12287,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 12,287 Norwegian inspections"
VOLKSWAGEN,GOLF VARIANT,3463,VOLKSWAGEN,GOLF VARIANT,46,exact,prefix_identity,1.0,n,"exact/structural match but only 46 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
VOLVO,XC60,3445,VOLVO,XC60,50617,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 50,617 Norwegian inspections"
VOLKSWAGEN,CADDY,3359,VOLKSWAGEN,CADDY,4139,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 4,139 Norwegian inspections"
TOYOTA,AYGO 5-DØRS,3269,TOYOTA,AYGO,7203,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 7,203 Norwegian inspections"
MAZDA,3,3198,MAZDA,3,11132,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 11,132 Norwegian inspections"
SEAT,Arona,3193,SEAT,ARONA,110,exact,prefix_identity,1.0,n,"exact/structural match but only 110 Norwegian inspections, below the 200 noise floor -- likely a mis-keyed stray record, not a real model bucket"
AUDI,A6 AVANT,3021,AUDI,A6 AVANT,3997,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 3,997 Norwegian inspections"
CITROËN,C3 Aircross,3001,CITROEN,C3 AIRCROSS,875,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 875 Norwegian inspections"
CITROËN,C5 Aircross,2987,CITROEN,C5 AIRCROSS,1585,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 1,585 Norwegian inspections"
AUDI,Q5,2982,AUDI,Q5,14484,exact,prefix_identity,1.0,y,"literal string identity (prefix_identity), 14,484 Norwegian inspections"
